,train ratio,base acc ratio,methon1 acc ratio,methon2 acc ratio,methon3 acc ratio
3671,0.74,0.8717948717948718,0.8974358974358975,0.8974358974358975,0.8974358974358975
3672,0.74,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743
3673,0.74,0.9487179487179487,0.9230769230769231,0.9230769230769231,0.9230769230769231
3674,0.74,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
3675,0.74,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975
3676,0.74,0.9487179487179487,0.9743589743589743,0.9743589743589743,0.9743589743589743
3677,0.74,0.8717948717948718,0.8974358974358975,0.8974358974358975,0.8974358974358975
3678,0.74,0.9487179487179487,0.9743589743589743,0.9743589743589743,0.9743589743589743
3679,0.74,1.0,1.0,1.0,1.0
3680,0.74,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975
3681,0.74,0.8717948717948718,0.8974358974358975,0.8974358974358975,0.8974358974358975
3682,0.74,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487
3683,0.74,0.9230769230769231,0.9487179487179487,0.9487179487179487,0.9230769230769231
3684,0.74,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9487179487179487
3685,0.74,0.9230769230769231,0.9487179487179487,0.9487179487179487,0.9487179487179487
3686,0.74,0.8974358974358975,0.9487179487179487,0.9487179487179487,0.9487179487179487
3687,0.74,0.9230769230769231,0.9743589743589743,0.9743589743589743,0.9743589743589743
3688,0.74,0.9487179487179487,0.9743589743589743,0.9743589743589743,1.0
3689,0.74,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.9230769230769231
3690,0.74,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.9230769230769231
3691,0.74,1.0,1.0,1.0,1.0
3692,0.74,0.9230769230769231,0.9487179487179487,0.9487179487179487,0.9487179487179487
3693,0.74,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.9230769230769231
3694,0.74,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
3695,0.74,0.9743589743589743,0.9487179487179487,0.9487179487179487,0.9743589743589743
3696,0.74,0.8974358974358975,0.9487179487179487,0.9487179487179487,0.9487179487179487
3697,0.74,1.0,1.0,1.0,1.0
3698,0.74,0.9230769230769231,0.9743589743589743,0.9743589743589743,0.9743589743589743
3699,0.74,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743
3700,0.76,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
3701,0.76,0.9722222222222222,1.0,1.0,1.0
3702,0.76,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
3703,0.76,0.9444444444444444,0.9166666666666666,0.9166666666666666,0.9166666666666666
3704,0.76,0.8888888888888888,0.9722222222222222,0.9722222222222222,0.9722222222222222
3705,0.76,0.9166666666666666,0.9722222222222222,0.9722222222222222,0.9722222222222222
3706,0.76,0.9444444444444444,1.0,1.0,0.9722222222222222
3707,0.76,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444
3708,0.76,0.9722222222222222,0.9444444444444444,0.9444444444444444,0.9444444444444444
3709,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3710,0.76,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
3711,0.76,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
3712,0.76,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666
3713,0.76,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
3714,0.76,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
3715,0.76,0.8611111111111112,0.8888888888888888,0.8888888888888888,0.8888888888888888
3716,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3717,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3718,0.76,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
3719,0.76,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
3720,0.76,0.9166666666666666,0.9722222222222222,0.9722222222222222,0.9722222222222222
3721,0.76,0.8888888888888888,0.9722222222222222,0.9722222222222222,0.9722222222222222
3722,0.76,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444
3723,0.76,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
3724,0.76,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444
3725,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3726,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,1.0
3727,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3728,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3729,0.76,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666
3730,0.76,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
3731,0.76,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
3732,0.76,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
3733,0.76,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
3734,0.76,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444
3735,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3736,0.76,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
3737,0.76,0.9166666666666666,1.0,1.0,1.0
3738,0.76,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444
3739,0.76,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
3740,0.76,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.9722222222222222
3741,0.76,1.0,1.0,1.0,1.0
3742,0.76,0.9166666666666666,1.0,1.0,1.0
3743,0.76,0.9444444444444444,1.0,1.0,1.0
3744,0.76,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
3745,0.76,0.9444444444444444,1.0,1.0,1.0
3746,0.76,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
3747,0.76,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9444444444444444
